state,annual_trend,national_trend,difference,std_error,p_value,significant
Vermont,0.33274271390085153,0.01993958497694734,0.31280312892390416,530.5655378198885,0.999529594828744,No
Oklahoma,0.27939915186437037,0.01993958497694734,0.259459566887423,530.5654761470141,0.9996098148416588,No
New Hampshire,0.1340039312383738,0.01993958497694734,0.11406434626142647,530.5653868627066,0.9998284656663015,No
Nevada,0.08860856083672906,0.01993958497694734,0.06866897585978173,530.5653880379558,0.9998967329631239,No
West Virginia,0.08786429324834533,0.01993958497694734,0.06792470827139799,530.5653911148884,0.9998978522218254,No
Tennessee,0.0811020945955992,0.01993958497694734,0.06116250961865185,530.56538234045,0.9999080214736187,No
Connecticut,0.06934659156446132,0.01993958497694734,0.04940700658751399,530.5653818907917,0.9999256998495564,No
Indiana,0.05976260400833535,0.01993958497694734,0.03982301903138801,530.56538230436,0.9999401126174462,No
South Dakota,0.053332103833377886,0.01993958497694734,0.03339251885643055,530.5653845419299,0.9999497830503072,No
New Jersey,0.05179212055130453,0.01993958497694734,0.03185253557435719,530.5653819266544,0.9999520989359508,No
Puerto Rico,0.05055757861923786,0.01993958497694734,0.030617993642290522,530.5653856473639,0.9999539554877547,No
Massachusetts,0.047841355989719996,0.01993958497694734,0.027901771012772657,530.5653818468038,0.9999580402471371,No
Wisconsin,0.0467080299249479,0.01993958497694734,0.026768444948000562,530.5653818761876,0.9999597445863201,No
District of Columbia,0.045112944345946225,0.01993958497694734,0.025173359368998886,530.5653823883836,0.999962143337196,No
Minnesota,0.042272815912801465,0.01993958497694734,0.022333230935854126,530.5653819266048,0.9999664144311742,No
Arizona,0.041929894930911794,0.01993958497694734,0.021990309953964456,530.5653821352339,0.9999669301289054,No
Washington,0.023938098850940618,0.01993958497694734,0.003998513873993279,530.5653865316584,0.9999939868816037,No
California,0.023100040800927472,0.01993958497694734,0.003160455823980133,530.56538179771,0.9999952471853732,No
Nebraska,0.020548121018517683,0.01993958497694734,0.0006085360415703455,530.5653831936412,0.9999990848601744,No
Kentucky,0.020358941797278585,0.01993958497694734,0.00041935682033124647,530.5653821382253,0.9999993693551376,No
New York,0.01904141903899404,0.01993958497694734,-0.0008981659379532977,530.5653818203242,0.9999986493036307,No
Louisiana,0.01848709784388315,0.01993958497694734,-0.0014524871330641915,530.5653822353619,0.9999978156941688,No
Florida,0.017454910392179755,0.01993958497694734,-0.0024846745847675856,530.5653818609006,0.9999962634511078,No
Georgia,0.014796845487348984,0.01993958497694734,-0.005142739489598355,530.5653819949631,0.9999922661512074,No
Texas,0.014282239181909266,0.01993958497694734,-0.005657345795038073,530.5653818238984,0.9999914922665151,No
Arkansas,0.013954627518802913,0.01993958497694734,-0.005984957458144426,530.5653842142517,0.9999909995915774,No
Iowa,0.013381328957473088,0.01993958497694734,-0.00655825601947425,530.5653818699551,0.9999901374431834,No
Kansas,0.013169620384681512,0.01993958497694734,-0.0067699645922658265,530.565382388374,0.9999898190677257,No
New Mexico,0.01265582754632695,0.01993958497694734,-0.0072837574306203875,530.5653827990573,0.9999890464063681,No
Illinois,0.011448823056462408,0.01993958497694734,-0.00849076192048493,530.5653818447663,0.9999872312667254,No
Michigan,0.011313176207751751,0.01993958497694734,-0.008626408769195588,530.5653818237647,0.9999870272757937,No
Colorado,0.010335881295457353,0.01993958497694734,-0.009603703681489986,530.565382005801,0.9999855575822444,No
Hawaii,0.006958085021980779,0.01993958497694734,-0.01298149995496656,1993.4059156908452,0.9999948039993719,No
Rhode Island,0.005111264645799772,0.01993958497694734,-0.014828320331147567,530.5653824411806,0.9999777006034603,No
Maryland,0.0013462907325941485,0.01993958497694734,-0.01859329424435319,530.5653819128875,0.9999720386913381,No
Alaska,7.722819707723164e-05,0.01993958497694734,-0.019862356779870107,26458.58826360571,0.9999994010312395,No
Pennsylvania,-0.00022750891374389431,0.01993958497694734,-0.020167093890691233,530.5653818162309,0.9999696719510935,No
North Carolina,-0.003524454236385574,0.01993958497694734,-0.023464039213332913,530.5653818285018,0.9999647138783315,No
Alabama,-0.004806546746636883,0.01993958497694734,-0.02474613172358422,530.565382146133,0.999962785818489,No
Ohio,-0.006602276008565985,0.01993958497694734,-0.026541860985513324,530.5653818479769,0.9999600853319666,No
Virginia,-0.009815660181875466,0.01993958497694734,-0.029755245158822805,530.565381829137,0.9999552529216648,No
Missouri,-0.012310796379159883,0.01993958497694734,-0.03225038135610722,530.5653819279821,0.9999515006402139,No
Mississippi,-0.021287079285175738,0.01993958497694734,-0.041226664262123076,530.5653829723256,0.9999380017620245,No
Montana,-0.02360768498459473,0.01993958497694734,-0.04354726996154207,530.5653832134722,0.99993451194626,No
South Carolina,-0.024574176262284357,0.01993958497694734,-0.044513761239231696,530.5653818464674,0.9999330584994619,No
Idaho,-0.027196677422992116,0.01993958497694734,-0.047136262399939455,530.5653892289456,0.9999291146826821,No
Utah,-0.038996537170119173,0.01993958497694734,-0.05893612214706651,530.5653827401177,0.9999113696004908,No
Oregon,-0.04290165964150816,0.01993958497694734,-0.0628412446184555,530.5653826336859,0.9999054969276424,No
Wyoming,-0.1102536311326274,0.01993958497694734,-0.13019321610957474,530.565385917749,0.9998042104540369,No
Delaware,-0.14465435027726636,0.01993958497694734,-0.1645939352542137,530.5653915346733,0.9997524773388351,No
Maine,-0.2964587808744511,0.01993958497694734,-0.3163983658513984,530.5654811641484,0.9995241881253576,No
