subject_name,word,share,predicted_share,predicted_change,slope_3yr,specificity
Algebraic geometry,stack,0.010078387458006719,0.005467288648163741,0.0015199202271111096,0.0032427865433746167,3.6523691782325143
Algebraic geometry,hodge,0.008958566629339306,0.005400691273443718,-0.001178256094977334,0.001485271338621748,3.4679060884227915
Algebraic geometry,fano,0.0033594624860022394,0.0038433378958852146,0.0012117589485167936,-0.000116675942627623,2.0682090527340744
Algebraic geometry,toric_variety,0.0022396416573348264,0.0028325328582672806,-0.001114835562785351,-7.778396175174817e-05,1.4671910374096424
Algebraic geometry,brill,0.0011198208286674132,0.001658583279405889,-0.000972995667962532,-3.889198087587405e-05,2.6009295663170935
Algebraic topology,topological,0.030864197530864196,0.023268092483423833,0.007977572605747992,0.0017602237654320947,0.8589923574849084
Algebraic topology,homology,0.030864197530864196,0.021930781652837485,0.009698365750696812,0.0037133487654320944,2.116648947658973
Algebraic topology,equivariant,0.018518518518518517,0.01803563822406483,-0.00031298562914618133,0.00535300925925926,2.095657387847479
Algebraic topology,persistent,0.012345679012345678,0.008358980857970759,-0.0008153310686347462,0.004219714506172838,5.453215998484839
Algebraic topology,persistence,0.009259259259259259,0.007616718095708375,0.0015005101446380386,0.0026765046296296294,3.143486081771219
Approximations and expansions,approximation,0.05,0.044930290276861115,-0.010625265278694437,0.010714285714285723,0.5451223397666313
Approximations and expansions,operator,0.03,0.022240841766769166,0.003722323248250649,0.0007142857142857135,0.24507031121757267
Approximations and expansions,positive,0.01,0.016516345487357083,-0.02052069154967995,-0.0010975609756097484,0.45247080427979397
Approximations and expansions,good,0.02,0.014909591923271098,0.0037984808121599867,0.0066666666666666645,1.515375593031736
Associative rings and algebras,algebra,0.06550218340611354,0.06260905108632278,-0.0006093397182749261,-0.008129411441597317,0.5418186657060596
Associative rings and algebras,grade,0.008733624454148471,0.011083764099984942,-0.011904741647141495,0.0012221581390239242,0.6418467270671783
Associative rings and algebras,quiver,0.008733624454148471,0.009747701675817136,-0.0132408040713093,0.0012221581390239242,2.1035312903882315
Associative rings and algebras,hopf_algebra,0.013100436681222707,0.009380379667012622,0.0036332532302310126,0.0002609101645107229,2.8662621017885446
