subject_name,word,share,pred_share,pred_dshare,slope_3yr,spec_cum
Algebraic geometry,enumerative,0.0,0.003495424074024371,0.003495424074024371,-0.0015576323987538932,29.453352343610764
Algebraic geometry,derive_category,0.002840909090909091,0.0038411282521727905,0.0010002191612636993,-0.0009159940526762952,38.871317195564735
Algebraic geometry,modulus,0.005681818181818182,0.006524719024786515,0.000842900842968333,-0.0002743557065986965,32.439881077753114
Algebraic geometry,grassmannian,0.002840909090909091,0.0035803703848529857,0.0007394612939438948,-0.00013717785329934892,29.297101137543862
Algebraic geometry,chow,0.002840909090909091,0.0034382124018048866,0.0005973033108957956,-0.0024736264514301906,48.14490286936375
Algebraic topology,equivariant,0.005076142131979695,0.015936736391641074,0.01086059425966138,-0.014067094985670672,50.46505358249322
Algebraic topology,configuration,0.0,0.006640780895436334,0.006640780895436334,-0.003690036900369004,25.816679020744697
Algebraic topology,simplicial,0.0,0.005490479277059824,0.005490479277059824,-0.0018450184501845005,61.529751666108204
Algebraic topology,complement,0.0,0.003054157873142965,0.003054157873142965,-0.0018450184501845014,32.5397725157303
Algebraic topology,persistent,0.005076142131979695,0.0073441995722066215,0.002268057440226927,-0.004842002734748159,57.78733385457388
Associative rings and algebras,leavitt,0.0,0.006717634744772773,0.006717634744772773,-0.0042735042735042705,117.84342344771792
Associative rings and algebras,grade,0.007462686567164179,0.00974553896416732,0.002282852397003141,0.0015945911468299545,30.477735184339295
Associative rings and algebras,identity,0.007462686567164179,0.007843344226428978,0.00038065765926480015,-0.0005421609899221852,23.456984762104987
Associative rings and algebras,skew,0.007462686567164179,0.006827173853296776,-0.0006355127138674028,0.0015945911468299536,27.26955253335622
Associative rings and algebras,maximal,0.007462686567164179,0.006002651170442949,-0.0014600353967212298,-0.0005421609899221852,14.456148330935825
Astronomy and astrophysics,emission,0.0,0.009312304748723835,0.009312304748723835,-0.010714285714285716,32.904826646686196
Astronomy and astrophysics,accretion,0.0,0.004707575825383622,0.004707575825383622,4.562925904924314e-18,77.88000437588884
Astronomy and astrophysics,nearby,0.0,0.004007771546738671,0.004007771546738671,-0.0035714285714285696,48.07898229327833
Astronomy and astrophysics,magnetic_field,0.007042253521126761,0.008173554770357718,0.001131301249230958,-0.0036217303822937623,35.44256210458591
Astronomy and astrophysics,astrophysic,0.007042253521126761,0.004402897438496279,-0.0026393560826304826,-5.0301810865192894e-05,62.93975863847344
Biology and other natural sciences,mathematical_modeling,0.005555555555555556,0.009618890189602538,0.0040633346340469825,-0.0015954000647878195,14.862593530431608
Biology and other natural sciences,receptor,0.0,0.0016774196817369547,0.0016774196817369547,-0.0007288629737609326,20.944576248846708
Biology and other natural sciences,immune,0.002777777777777778,0.004200956146382577,0.0014231783686047986,-0.0007977000323939096,21.070445096496034
Biology and other natural sciences,tissue,0.002777777777777778,0.0035256954692205918,0.0007479176914428138,-0.0007977000323939102,17.44247989554929
Biology and other natural sciences,epidemic,0.004166666666666667,0.004367597591587359,0.00020093092492069268,0.0013544703595724013,10.008912543696658
Calculus of variations and optimal control,transport,0.013422818791946308,0.016201020896020105,0.0027782021040737973,0.0001754616835548526,11.324310520939735
Calculus of variations and optimal control,shape,0.006711409395973154,0.009166645691326053,0.002455236295352899,8.773084177742729e-05,11.98711054204012
Calculus of variations and optimal control,constraint,0.006711409395973154,0.00913271713865926,0.0024213077426861046,-0.006448216870640872,9.430303030303032
Calculus of variations and optimal control,minimal,0.006711409395973154,0.008143805087499616,0.0014323956915264623,-0.003180243014431724,8.705535924617196
Calculus of variations and optimal control,variational,0.026845637583892617,0.025978765555529523,-0.0008668720283630939,0.0003509233671097052,51.05191622103386
"Category theory, homological algebra",categorical,0.0,0.010085731138314903,0.010085731138314903,-0.006134969325153373,87.90048677951101
"Category theory, homological algebra",homological,0.0049261083743842365,0.01096804362391405,0.0060419352495298135,-0.006739399800537945,55.59705788804071
"Category theory, homological algebra",algebra,0.024630541871921183,0.026630419042861085,0.001999877170939903,-0.009157121702076219,10.222135260313921
"Category theory, homological algebra",homotopy,0.009852216748768473,0.010498073540145206,0.0006458567913767332,0.004926108374384237,36.25137316837764
"Category theory, homological algebra",abelian,0.0049261083743842365,0.0054593797525767,0.0005332713781924633,-0.0006044304753845671,42.93899885158414
Combinatorics,edge,0.0014534883720930232,0.006013745118399165,0.004560256746306141,-0.0035960223845586735,16.549318465929982
Combinatorics,extremal,0.010174418604651164,0.01226728143974741,0.0020928628350962465,-0.00283786274378393,23.766428488635132
Combinatorics,chromatic,0.0029069767441860465,0.0033042038777820752,0.00039722713359602877,0.0007330272769921586,36.542684288283226
Combinatorics,catalan,0.0014534883720930232,0.001535197900230571,8.170952813754762e-05,6.283090945646851e-06,30.24394527279255
Combinatorics,multipartite,0.0014534883720930232,0.0011479100413205657,-0.00030557833077245764,-0.0007141780041552179,36.724790688390954
Commutative rings and algebras,grade,0.0049261083743842365,0.012936419915580383,0.008010311541196148,-0.004854018983539587,30.80127304303242
Commutative rings and algebras,complete_intersection,0.0049261083743842365,0.004727012149240945,-0.00019909622514329106,-0.004854018983539591,66.35758132542699
Commutative rings and algebras,edge,0.009852216748768473,0.008399454935589695,-0.0014527618131787788,4.805959389643066e-05,13.335016342908775
Commutative rings and algebras,koszul,0.0049261083743842365,0.003023164680135114,-0.0019029436942491226,0.0024630541871921174,69.67546039169832
Commutative rings and algebras,monomial_ideal,0.009852216748768473,0.0075413267602334475,-0.0023108899885350255,0.004926108374384237,156.76978588132127
Computer science,security,0.005919003115264798,0.006369076939244294,0.00045007382397949656,-0.00046934977717044257,3.719593216626061
Computer science,internet_thing,0.0006230529595015577,0.0009056366111774074,0.00028258365167584977,-5.585044897809665e-05,3.884062713871357
Computer science,privacy,0.004049844236760125,0.004080166179290498,3.0321942530373366e-05,0.0006778733797075173,4.900146630580319
Computer science,deep_neural,0.001869158878504673,0.00173255972984444,-0.00013659914866023313,7.736660555162644e-05,4.697006072588618
Computer science,learn,0.00778816199376947,0.007376855176984298,-0.000411306816785173,0.0002203117095959764,2.9330691567340077
Convex and discrete geometry,graph,0.013157894736842105,0.025077706431474264,0.011919811694632161,-0.00453216374269006,4.600653980142299
Convex and discrete geometry,space,0.013157894736842105,0.018026703232559067,0.0048688084957169645,-0.010087719298245616,3.7927611705404733
Convex and discrete geometry,tiling,0.013157894736842105,0.01083067484493691,-0.0023272198919051935,0.006578947368421053,89.62893503014065
Convex and discrete geometry,lattice,0.02631578947368421,0.02164768202944466,-0.004668107444239549,0.002046783625730993,13.195777139429355
Convex and discrete geometry,valuation,0.013157894736842105,0.008272807574309381,-0.004885087162532724,0.0010233918128654935,42.22189501419849
Differential geometry,finsler,0.0038535645472061657,0.007149976392038699,0.003296411844832533,-0.0014458990080158038,56.62289766248575
Differential geometry,einstein,0.0019267822736030828,0.0027400402306791954,0.0008132579570761128,-0.0007229495040079019,31.44676630511605
Differential geometry,metric,0.019267822736030827,0.02000002426579224,0.0007322015297614124,-0.00048413247684124603,16.42174224117463
Differential geometry,geodesic,0.007707129094412331,0.007279752122580044,-0.0004273769718322871,0.00048088326558727953,24.485577367561405
Differential geometry,riemannian,0.009633911368015413,0.009001037294790676,-0.0006328740732247381,-0.001928406879230068,43.06435472845024
Dynamical systems and ergodic theory,chaotic,0.0019230769230769232,0.004385333267253247,0.0024622563441763236,-0.0044614550308693475,34.860183867231946
Dynamical systems and ergodic theory,homoclinic,0.0019230769230769232,0.004175950935801361,0.0022528740127244376,-0.00012306023694309828,54.60469911086294
Dynamical systems and ergodic theory,transcendental,0.0019230769230769232,0.0028086755731896802,0.000885598650112757,-0.002292257633906224,39.18392760270257
Dynamical systems and ergodic theory,escape,0.0038461538461538464,0.004532340059995334,0.0006861862138414879,0.0008384782245953627,49.15801826520868
Dynamical systems and ergodic theory,billiard,0.0038461538461538464,0.0033631223927347116,-0.000483031453419135,-0.0034999165693308863,43.84363791221315
Fluid mechanics,flow,0.04093567251461988,0.049257600259877014,0.008321927745257134,-0.008591992802519115,14.252966827176058
Fluid mechanics,buoyancy,0.0,0.0020652039739126843,0.0020652039739126843,-0.0008547008547008538,31.065522128769402
Fluid mechanics,premixed,0.001949317738791423,0.0025219622195238305,0.0005726444807324077,0.0009746588693957121,34.55416365125153
Fluid mechanics,cavitation,0.001949317738791423,0.0024980002629303843,0.0005486825241389613,0.00011995801469485745,32.30814301392017
Fluid mechanics,shear_flow,0.003898635477582846,0.0041669417897725785,0.00026830631218973235,0.00023991602938971276,35.49000558347292
Fourier analysis,fouri,0.0,0.011767009986538629,0.011767009986538629,-0.006711409395973152,57.12550740701907
Fourier analysis,singular_integral,0.0,0.01039882996488898,0.01039882996488898,-0.006711409395973152,154.54489950291764
Fourier analysis,variable,0.009259259259259259,0.015107132644382543,0.005847873385123283,-0.0054374844643301015,14.179275855495572
Fourier analysis,oscillatory,0.009259259259259259,0.007090927567544741,-0.0021683316917145185,0.004629629629629631,49.60700477871431
Fourier analysis,sharp,0.009259259259259259,0.006680465167329713,-0.0025787940919295466,0.0012739249316430503,46.39359556227937
Functional analysis,noncommutative,0.0028653295128939827,0.008606895898324089,0.005741566385430105,-0.004721181397399162,16.84145827785055
Functional analysis,nonexpansive,0.0,0.0033480591690869,0.0033480591690869,-0.003076923076923077,38.66338199513382
Functional analysis,groupoid,0.0,0.002525654295122235,0.002525654295122235,-0.0015384615384615382,11.97008730499499
Functional analysis,norm,0.0057306590257879654,0.005281857958659592,-0.000448801067128374,-0.0017500551024906346,9.453484612559295
Functional analysis,subfactor,0.0028653295128939827,0.0021912328530259515,-0.0006740966598680311,0.0014326647564469914,68.22949763847144
Functions of a complex variable,domain,0.0,0.015814812482656482,0.015814812482656482,-0.0034246575342465656,9.890004117275323
Functions of a complex variable,function,0.03676470588235294,0.043695235424793,0.0069305295424400585,-0.002165592264302977,15.158426924424107
Functions of a complex variable,univalent_function,0.0,0.006712383765621976,0.006712383765621976,-0.003424657534246574,230.38637796268281
Functions of a complex variable,multiply_connect,0.0,0.004610537521134609,0.004610537521134609,4.1819165901092305e-18,104.52312043675592
Functions of a complex variable,geometric,0.022058823529411766,0.02260746304535978,0.0005486395159480124,0.0007554391619661603,7.796859794741791
"Game theory, economics, social and behavioral sciences",economy,0.0037593984962406013,0.003974324046692225,0.0002149255504516238,0.0013403249223382086,7.204944865609925
"Game theory, economics, social and behavioral sciences",cooperative_game,0.0018796992481203006,0.002051296846319476,0.00017159759819917523,-0.0006782733532861286,6.730998326277445
"Game theory, economics, social and behavioral sciences",macro,0.0037593984962406013,0.0028484589307291542,-0.000910939565511447,0.0008009505965561149,4.957929867280873
"Game theory, economics, social and behavioral sciences",social,0.013157894736842105,0.012110354391260663,-0.0010475403455814424,0.00010645545903593747,4.332026577597249
"Game theory, economics, social and behavioral sciences",housing,0.005639097744360902,0.004286435599846527,-0.0013526621445143746,0.0017408002206162655,7.4692368523852934
General,nonlinear,0.0,0.007094372785399932,0.007094372785399932,-0.0029940119760479026,2.1566885471876924
General,detection,0.0,0.0033034971658366043,0.0033034971658366043,-0.0029940119760479035,2.2402463747275583
General,simulation,0.0,0.0024338908903187993,0.0024338908903187993,-0.0029940119760479052,2.3407569660081196
General,image,0.0,0.001654765672568529,0.001654765672568529,-0.0029940119760479052,2.734385506509734
General,technology,0.0,0.0013862432688347133,0.0013862432688347133,0.0,4.621658959369456
General topology,generalized,0.0,0.02357654599335104,0.02357654599335104,-0.0180722891566265,11.780853830317477
General topology,point,0.011627906976744186,0.022901307587738395,0.011273400610994211,-0.006234239282712245,8.888803070528349
General topology,product,0.0,0.010826497967230961,0.010826497967230961,2.944480377870034e-18,6.42033494272843
General topology,theorem,0.011627906976744186,0.0064600342483356185,-0.005167872728408567,0.005813953488372091,5.481906825195042
General topology,value,0.011627906976744186,0.0034126219344458256,-0.00821528504229836,0.005813953488372091,6.929263932091049
Geometry,complex,0.0,0.011050716926902735,0.011050716926902735,-0.0037037037037037,4.62713031925784
Geometry,classification,0.0,0.006634318980549739,0.006634318980549739,-0.014814814814814815,5.109123060847198
Geometry,length,0.0,0.005419357982015934,0.005419357982015934,-0.003703703703703701,35.49496021220159
Geometry,property,0.0,0.005039638779961739,0.005039638779961739,-0.011111111111111112,1.9198878582686678
Geometry,geometric,0.011904761904761904,0.008441106952650749,-0.003463654952111155,-0.012566137566137567,6.926313857624202
"Global analysis, analysis on manifolds",riemannian_manifold,0.0,0.020307459378291814,0.020307459378291814,-0.0108695652173913,75.99949516420449
"Global analysis, analysis on manifolds",invariant,0.0,0.01135513459556962,0.01135513459556962,5.036823724773586e-18,7.5735232655335745
"Global analysis, analysis on manifolds",singularity,0.0,0.006093147571201485,0.006093147571201485,2.8028171690184313e-18,17.742361085265546
