,RMSE,RMSE,MAE,MAE,dir_acc,dir_acc,NDCG,NDCG
,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,
Dummy (mean),0.0099,0.0008,0.0057,0.0005,0.4929,0.0058,0.8095,0.0032
Zero-change,0.0099,0.0008,0.0057,0.0005,0.0,0.0,0.8095,0.0032
Momentum (slope_3yr),0.0132,0.001,0.0078,0.0006,0.3289,0.0086,0.7241,0.0022
Ridge (weighted),0.0078,0.0007,0.0049,0.0004,0.6978,0.0059,0.9129,0.0056
HistGBR (weighted),0.0082,0.0007,0.005,0.0004,0.6967,0.0034,0.8986,0.0092
