year,state,subject,num_dissertations
1792.0,Pennsylvania,92—Biology and other natural sciences,1
1861.0,Connecticut,85—Astronomy and astrophysics,1
1863.0,Connecticut,"80—Classical thermodynamics, heat transfer",1
1875.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",1
1876.0,Connecticut,"78—Optics, electromagnetic theory",1
1876.0,Massachusetts,01—History and biography,1
1878.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",1
1880.0,Maryland,"78—Optics, electromagnetic theory",1
1880.0,Massachusetts,01—History and biography,1
1881.0,Maryland,92—Biology and other natural sciences,1
1883.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",1
1884.0,Maryland,01—History and biography,1
1885.0,Maryland,"78—Optics, electromagnetic theory",1
1886.0,Maryland,01—History and biography,1
1886.0,Maryland,"91—Game theory, economics, social and behavioral sciences",1
1888.0,Massachusetts,92—Biology and other natural sciences,1
1889.0,Maryland,01—History and biography,2
1889.0,New York,01—History and biography,1
1890.0,Maryland,"91—Game theory, economics, social and behavioral sciences",2
1891.0,Connecticut,15—Linear and multilinear algebra; matrix theory,1
1891.0,Connecticut,"91—Game theory, economics, social and behavioral sciences",1
1891.0,Maryland,01—History and biography,1
1891.0,Maryland,"91—Game theory, economics, social and behavioral sciences",2
1891.0,New York,"91—Game theory, economics, social and behavioral sciences",1
1892.0,Maryland,"91—Game theory, economics, social and behavioral sciences",2
1892.0,New York,"78—Optics, electromagnetic theory",1
1893.0,Maryland,34—Ordinary differential equations,1
1893.0,Massachusetts,15—Linear and multilinear algebra; matrix theory,1
1893.0,New York,"91—Game theory, economics, social and behavioral sciences",1
1893.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",1
1894.0,Maryland,"91—Game theory, economics, social and behavioral sciences",1
1894.0,New York,"91—Game theory, economics, social and behavioral sciences",2
1895.0,New York,03—Mathematical logic and foundations,1
1895.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",1
1896.0,Illinois,"91—Game theory, economics, social and behavioral sciences",1
1896.0,New Jersey,01—History and biography,1
1896.0,New York,"91—Game theory, economics, social and behavioral sciences",1
1896.0,Pennsylvania,35—Partial differential equations,1
1896.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",1
1897.0,Connecticut,"78—Optics, electromagnetic theory",1
1897.0,Illinois,"91—Game theory, economics, social and behavioral sciences",2
1897.0,Massachusetts,"78—Optics, electromagnetic theory",1
1897.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",1
1897.0,New York,"78—Optics, electromagnetic theory",1
1897.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",3
1898.0,Illinois,"91—Game theory, economics, social and behavioral sciences",1
1898.0,New York,"91—Game theory, economics, social and behavioral sciences",3
1898.0,Wisconsin,01—History and biography,1
1898.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",1
1899.0,Connecticut,97—Mathematics education,1
1899.0,Illinois,"91—Game theory, economics, social and behavioral sciences",2
1899.0,Massachusetts,92—Biology and other natural sciences,1
1899.0,New York,"91—Game theory, economics, social and behavioral sciences",1
1899.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",1
1900.0,Massachusetts,"78—Optics, electromagnetic theory",1
1900.0,Nebraska,26—Real functions,1
1900.0,New York,01—History and biography,1
1900.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",1
1901.0,Connecticut,60—Probability theory and stochastic processes,1
1901.0,Illinois,"91—Game theory, economics, social and behavioral sciences",1
1901.0,Massachusetts,00—General,1
1902.0,Maryland,"91—Game theory, economics, social and behavioral sciences",1
1902.0,Massachusetts,92—Biology and other natural sciences,1
1902.0,New York,20—Group theory and generalizations,1
1902.0,New York,"91—Game theory, economics, social and behavioral sciences",2
1902.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",4
1903.0,New York,01—History and biography,1
1903.0,Pennsylvania,01—History and biography,1
1904.0,California,20—Group theory and generalizations,1
1904.0,Connecticut,92—Biology and other natural sciences,1
1904.0,Massachusetts,03—Mathematical logic and foundations,1
1904.0,New York,92—Biology and other natural sciences,1
1905.0,Illinois,"91—Game theory, economics, social and behavioral sciences",2
1905.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",3
1905.0,New York,00—General,1
1905.0,New York,"91—Game theory, economics, social and behavioral sciences",1
1905.0,Pennsylvania,01—History and biography,1
1905.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",1
1906.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",1
1906.0,Massachusetts,92—Biology and other natural sciences,1
1906.0,Michigan,"91—Game theory, economics, social and behavioral sciences",1
1906.0,New York,"78—Optics, electromagnetic theory",1
1906.0,New York,97—Mathematics education,1
1906.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",3
1907.0,California,92—Biology and other natural sciences,1
1907.0,Illinois,92—Biology and other natural sciences,2
1907.0,Maryland,92—Biology and other natural sciences,1
1907.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",1
1907.0,New York,"91—Game theory, economics, social and behavioral sciences",1
1907.0,Wisconsin,11—Number theory,1
1907.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",1
1908.0,Massachusetts,03—Mathematical logic and foundations,2
1908.0,Massachusetts,"80—Classical thermodynamics, heat transfer",1
1908.0,New York,01—History and biography,1
1908.0,Pennsylvania,20—Group theory and generalizations,1
1908.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",2
1909.0,Maryland,"91—Game theory, economics, social and behavioral sciences",1
1909.0,Massachusetts,"80—Classical thermodynamics, heat transfer",1
1909.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",1
1909.0,Rhode Island,92—Biology and other natural sciences,1
1909.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",2
1910.0,Illinois,20—Group theory and generalizations,1
1910.0,Massachusetts,03—Mathematical logic and foundations,1
1910.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",1
1910.0,New York,"91—Game theory, economics, social and behavioral sciences",2
1910.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",1
1911.0,Illinois,97—Mathematics education,1
1911.0,Massachusetts,"78—Optics, electromagnetic theory",1
1911.0,Massachusetts,92—Biology and other natural sciences,1
1911.0,New York,"91—Game theory, economics, social and behavioral sciences",2
1911.0,Wisconsin,01—History and biography,1
1911.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",1
1912.0,Illinois,92—Biology and other natural sciences,1
1912.0,New York,"91—Game theory, economics, social and behavioral sciences",1
1912.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",1
1913.0,Illinois,20—Group theory and generalizations,1
1913.0,Illinois,"91—Game theory, economics, social and behavioral sciences",1
1913.0,Massachusetts,03—Mathematical logic and foundations,1
1913.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",1
1913.0,Massachusetts,92—Biology and other natural sciences,1
1913.0,New York,"78—Optics, electromagnetic theory",1
1913.0,Wisconsin,85—Astronomy and astrophysics,1
1913.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",3
1914.0,Maryland,14—Algebraic geometry,1
1914.0,Massachusetts,14—Algebraic geometry,1
1914.0,New York,13—Commutative rings and algebras,1
1914.0,New York,51—Geometry,1
1914.0,New York,"91—Game theory, economics, social and behavioral sciences",2
1914.0,Pennsylvania,01—History and biography,1
1914.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",2
1915.0,California,92—Biology and other natural sciences,1
1915.0,Connecticut,81—Quantum Theory,1
1915.0,Illinois,"91—Game theory, economics, social and behavioral sciences",1
1915.0,Maryland,"91—Game theory, economics, social and behavioral sciences",1
1915.0,Massachusetts,92—Biology and other natural sciences,2
1915.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",2
1916.0,Illinois,74—Mechanics of deformable solids,1
1916.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",1
1916.0,New Jersey,"91—Game theory, economics, social and behavioral sciences",1
1916.0,New York,"91—Game theory, economics, social and behavioral sciences",1
1916.0,Pennsylvania,54—General topology,1
1916.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",1
1917.0,Illinois,62—Statistics,1
1917.0,Illinois,85—Astronomy and astrophysics,1
1917.0,Massachusetts,"80—Classical thermodynamics, heat transfer",1
1917.0,Massachusetts,81—Quantum Theory,1
1917.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",1
1917.0,New Jersey,81—Quantum Theory,1
1917.0,New York,"91—Game theory, economics, social and behavioral sciences",3
1917.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",3
1918.0,Illinois,"91—Game theory, economics, social and behavioral sciences",1
1918.0,Massachusetts,03—Mathematical logic and foundations,1
1918.0,Massachusetts,86—Geophysics,1
1918.0,New York,"91—Game theory, economics, social and behavioral sciences",1
1918.0,New York,97—Mathematics education,1
1918.0,Pennsylvania,54—General topology,1
1918.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",2
1919.0,Illinois,"78—Optics, electromagnetic theory",1
1919.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",1
1919.0,Massachusetts,92—Biology and other natural sciences,1
1919.0,New Jersey,"78—Optics, electromagnetic theory",1
1919.0,New York,"40—Sequences, series, summability",1
1919.0,New York,92—Biology and other natural sciences,1
1919.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",1
1920.0,California,85—Astronomy and astrophysics,1
1920.0,Illinois,"91—Game theory, economics, social and behavioral sciences",5
1920.0,Massachusetts,01—History and biography,1
1920.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",1
1920.0,Massachusetts,92—Biology and other natural sciences,1
1920.0,New York,"91—Game theory, economics, social and behavioral sciences",2
1920.0,Pennsylvania,"06—Order, lattices, ordered algebraic structures",1
1920.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",5
1921.0,Connecticut,01—History and biography,1
1921.0,Connecticut,81—Quantum Theory,1
1921.0,Illinois,01—History and biography,1
1921.0,Illinois,20—Group theory and generalizations,1
1921.0,Illinois,"82—Statistical mechanics, structure of matter",1
1921.0,Illinois,"91—Game theory, economics, social and behavioral sciences",3
1921.0,Maryland,"78—Optics, electromagnetic theory",1
1921.0,Massachusetts,"80—Classical thermodynamics, heat transfer",1
1921.0,New Jersey,81—Quantum Theory,1
1921.0,New York,01—History and biography,1
1921.0,New York,"91—Game theory, economics, social and behavioral sciences",3
1921.0,New York,97—Mathematics education,1
1921.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",2
1922.0,Illinois,"78—Optics, electromagnetic theory",1
1922.0,Illinois,"91—Game theory, economics, social and behavioral sciences",1
1922.0,Illinois,92—Biology and other natural sciences,1
1922.0,Massachusetts,01—History and biography,1
1922.0,Massachusetts,"80—Classical thermodynamics, heat transfer",1
1922.0,Massachusetts,81—Quantum Theory,1
1922.0,Michigan,"78—Optics, electromagnetic theory",1
1922.0,Michigan,92—Biology and other natural sciences,1
1922.0,New York,"91—Game theory, economics, social and behavioral sciences",1
1922.0,Pennsylvania,54—General topology,1
1922.0,Wisconsin,"82—Statistical mechanics, structure of matter",1
1922.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",4
1922.0,Wisconsin,92—Biology and other natural sciences,1
1923.0,California,"82—Statistical mechanics, structure of matter",2
1923.0,California,"91—Game theory, economics, social and behavioral sciences",1
1923.0,Illinois,20—Group theory and generalizations,1
1923.0,Illinois,85—Astronomy and astrophysics,1
1923.0,Illinois,92—Biology and other natural sciences,2
1923.0,Massachusetts,52—Convex and discrete geometry,1
1923.0,Massachusetts,"80—Classical thermodynamics, heat transfer",1
1923.0,Minnesota,70—Mechanics of particles and systems,1
1923.0,New Jersey,"91—Game theory, economics, social and behavioral sciences",1
1923.0,New York,"40—Sequences, series, summability",1
1923.0,New York,"91—Game theory, economics, social and behavioral sciences",1
1923.0,Texas,54—General topology,1
1923.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",2
1924.0,Connecticut,70—Mechanics of particles and systems,1
1924.0,Maryland,"80—Classical thermodynamics, heat transfer",1
1924.0,Massachusetts,00—General,1
1924.0,Massachusetts,03—Mathematical logic and foundations,1
1924.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",2
1924.0,Michigan,"82—Statistical mechanics, structure of matter",1
1924.0,Minnesota,97—Mathematics education,1
1924.0,New Jersey,85—Astronomy and astrophysics,1
1924.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",1
1925.0,California,"82—Statistical mechanics, structure of matter",1
1925.0,Illinois,"91—Game theory, economics, social and behavioral sciences",1
1925.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",3
1925.0,New York,"82—Statistical mechanics, structure of matter",2
1925.0,New York,"91—Game theory, economics, social and behavioral sciences",3
1925.0,New York,92—Biology and other natural sciences,1
1925.0,Ohio,81—Quantum Theory,1
1925.0,Pennsylvania,54—General topology,1
1925.0,Texas,03—Mathematical logic and foundations,1
1925.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",2
1926.0,California,"78—Optics, electromagnetic theory",1
1926.0,California,"82—Statistical mechanics, structure of matter",1
1926.0,California,"91—Game theory, economics, social and behavioral sciences",1
1926.0,Connecticut,01—History and biography,1
1926.0,Illinois,20—Group theory and generalizations,1
1926.0,Illinois,"91—Game theory, economics, social and behavioral sciences",2
1926.0,Illinois,92—Biology and other natural sciences,1
1926.0,Iowa,"82—Statistical mechanics, structure of matter",1
1926.0,Maryland,01—History and biography,1
1926.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",3
1926.0,Massachusetts,92—Biology and other natural sciences,1
1926.0,New Jersey,"91—Game theory, economics, social and behavioral sciences",1
1926.0,New York,"91—Game theory, economics, social and behavioral sciences",2
1926.0,Texas,49—Calculus of variations and optimal control,1
1926.0,Wisconsin,"78—Optics, electromagnetic theory",1
1926.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",7
1927.0,California,"78—Optics, electromagnetic theory",1
1927.0,California,81—Quantum Theory,1
1927.0,California,92—Biology and other natural sciences,1
1927.0,Illinois,20—Group theory and generalizations,1
