year,state,subject,num_dissertations
1927.0,Iowa,"91—Game theory, economics, social and behavioral sciences",1
1927.0,Massachusetts,01—History and biography,2
1927.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",2
1927.0,Minnesota,"91—Game theory, economics, social and behavioral sciences",1
1927.0,New Jersey,"06—Order, lattices, ordered algebraic structures",1
1927.0,New York,"40—Sequences, series, summability",1
1927.0,New York,62—Statistics,1
1927.0,New York,"78—Optics, electromagnetic theory",1
1927.0,New York,"91—Game theory, economics, social and behavioral sciences",1
1927.0,North Carolina,"91—Game theory, economics, social and behavioral sciences",1
1927.0,Pennsylvania,20—Group theory and generalizations,1
1927.0,Texas,54—General topology,1
1927.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",11
1928.0,California,"91—Game theory, economics, social and behavioral sciences",1
1928.0,Connecticut,92—Biology and other natural sciences,1
1928.0,Illinois,"78—Optics, electromagnetic theory",1
1928.0,Illinois,"91—Game theory, economics, social and behavioral sciences",1
1928.0,Massachusetts,"80—Classical thermodynamics, heat transfer",1
1928.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",1
1928.0,Massachusetts,93—Systems theory; control,1
1928.0,Michigan,"91—Game theory, economics, social and behavioral sciences",1
1928.0,Minnesota,"91—Game theory, economics, social and behavioral sciences",2
1928.0,New York,"78—Optics, electromagnetic theory",1
1928.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",3
1929.0,California,70—Mechanics of particles and systems,1
1929.0,California,"91—Game theory, economics, social and behavioral sciences",1
1929.0,California,92—Biology and other natural sciences,1
1929.0,Connecticut,11—Number theory,1
1929.0,District of Columbia,86—Geophysics,1
1929.0,Illinois,34—Ordinary differential equations,1
1929.0,Illinois,35—Partial differential equations,1
1929.0,Illinois,62—Statistics,2
1929.0,Illinois,"91—Game theory, economics, social and behavioral sciences",3
1929.0,Massachusetts,03—Mathematical logic and foundations,1
1929.0,Massachusetts,81—Quantum Theory,1
1929.0,Massachusetts,"82—Statistical mechanics, structure of matter",1
1929.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",2
1929.0,Michigan,76—Fluid mechanics,1
1929.0,Michigan,"82—Statistical mechanics, structure of matter",1
1929.0,Michigan,"91—Game theory, economics, social and behavioral sciences",1
1929.0,New Jersey,70—Mechanics of particles and systems,1
1929.0,New York,"82—Statistical mechanics, structure of matter",1
1929.0,New York,"91—Game theory, economics, social and behavioral sciences",2
1929.0,Pennsylvania,"91—Game theory, economics, social and behavioral sciences",1
1929.0,Texas,54—General topology,1
1929.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",7
1930.0,California,"82—Statistical mechanics, structure of matter",1
1930.0,California,"91—Game theory, economics, social and behavioral sciences",1
1930.0,Connecticut,"91—Game theory, economics, social and behavioral sciences",1
1930.0,Illinois,34—Ordinary differential equations,1
1930.0,Illinois,39—Finite differences and functional equations,1
1930.0,Illinois,49—Calculus of variations and optimal control,1
1930.0,Illinois,"91—Game theory, economics, social and behavioral sciences",2
1930.0,Iowa,01—History and biography,1
1930.0,Massachusetts,01—History and biography,1
1930.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",1
1930.0,Michigan,"82—Statistical mechanics, structure of matter",1
1930.0,Minnesota,97—Mathematics education,1
1930.0,New Jersey,01—History and biography,1
1930.0,New Jersey,"40—Sequences, series, summability",1
1930.0,New York,"82—Statistical mechanics, structure of matter",1
1930.0,New York,"91—Game theory, economics, social and behavioral sciences",2
1930.0,New York,92—Biology and other natural sciences,1
1930.0,New York,97—Mathematics education,1
1930.0,Ohio,"91—Game theory, economics, social and behavioral sciences",1
1930.0,Texas,54—General topology,2
1930.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",4
1931.0,California,92—Biology and other natural sciences,1
1931.0,Illinois,20—Group theory and generalizations,1
1931.0,Illinois,35—Partial differential equations,1
1931.0,Illinois,"90—Operations research, mathematical programming",1
1931.0,Illinois,"91—Game theory, economics, social and behavioral sciences",3
1931.0,Iowa,15—Linear and multilinear algebra; matrix theory,1
1931.0,Iowa,54—General topology,2
1931.0,Iowa,86—Geophysics,1
1931.0,Iowa,92—Biology and other natural sciences,1
1931.0,Massachusetts,01—History and biography,1
1931.0,Massachusetts,03—Mathematical logic and foundations,1
1931.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",3
1931.0,Michigan,74—Mechanics of deformable solids,1
1931.0,New Jersey,"78—Optics, electromagnetic theory",1
1931.0,New York,03—Mathematical logic and foundations,1
1931.0,New York,"91—Game theory, economics, social and behavioral sciences",2
1931.0,North Carolina,08—General algebraic systems,1
1931.0,Ohio,"91—Game theory, economics, social and behavioral sciences",1
1931.0,Pennsylvania,62—Statistics,1
1931.0,Texas,86—Geophysics,1
1931.0,Virginia,"78—Optics, electromagnetic theory",1
1931.0,Wisconsin,54—General topology,1
1931.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",9
1932.0,California,20—Group theory and generalizations,1
1932.0,California,"82—Statistical mechanics, structure of matter",1
1932.0,California,"91—Game theory, economics, social and behavioral sciences",1
1932.0,Connecticut,"91—Game theory, economics, social and behavioral sciences",1
1932.0,Connecticut,92—Biology and other natural sciences,1
1932.0,Illinois,49—Calculus of variations and optimal control,1
1932.0,Illinois,"82—Statistical mechanics, structure of matter",1
1932.0,Illinois,92—Biology and other natural sciences,1
1932.0,Maryland,"82—Statistical mechanics, structure of matter",1
1932.0,Maryland,92—Biology and other natural sciences,1
1932.0,Massachusetts,01—History and biography,1
1932.0,Massachusetts,03—Mathematical logic and foundations,1
1932.0,Massachusetts,31—Potential theory,1
1932.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",3
1932.0,Minnesota,"91—Game theory, economics, social and behavioral sciences",2
1932.0,New Jersey,35—Partial differential equations,1
1932.0,New York,14—Algebraic geometry,1
1932.0,New York,"91—Game theory, economics, social and behavioral sciences",1
1932.0,North Carolina,"91—Game theory, economics, social and behavioral sciences",1
1932.0,Texas,54—General topology,2
1932.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",3
1933.0,California,92—Biology and other natural sciences,1
1933.0,Connecticut,11—Number theory,1
1933.0,Connecticut,"91—Game theory, economics, social and behavioral sciences",1
1933.0,Illinois,14—Algebraic geometry,1
1933.0,Illinois,"91—Game theory, economics, social and behavioral sciences",2
1933.0,Iowa,54—General topology,1
1933.0,Iowa,74—Mechanics of deformable solids,1
1933.0,Maryland,81—Quantum Theory,1
1933.0,Massachusetts,"78—Optics, electromagnetic theory",1
1933.0,Massachusetts,81—Quantum Theory,1
1933.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",3
1933.0,Michigan,"78—Optics, electromagnetic theory",1
1933.0,Michigan,"82—Statistical mechanics, structure of matter",1
1933.0,Missouri,62—Statistics,1
1933.0,New York,"40—Sequences, series, summability",2
1933.0,New York,97—Mathematics education,1
1933.0,Ohio,"91—Game theory, economics, social and behavioral sciences",1
1933.0,Pennsylvania,20—Group theory and generalizations,1
1933.0,Texas,54—General topology,1
1933.0,Wisconsin,34—Ordinary differential equations,1
1933.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",7
1934.0,California,76—Fluid mechanics,2
1934.0,California,"91—Game theory, economics, social and behavioral sciences",3
1934.0,Connecticut,03—Mathematical logic and foundations,1
1934.0,Connecticut,11—Number theory,1
1934.0,District of Columbia,14—Algebraic geometry,1
1934.0,Illinois,20—Group theory and generalizations,1
1934.0,Illinois,"40—Sequences, series, summability",1
1934.0,Illinois,74—Mechanics of deformable solids,1
1934.0,Illinois,"91—Game theory, economics, social and behavioral sciences",1
1934.0,Massachusetts,85—Astronomy and astrophysics,2
1934.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",3
1934.0,Michigan,26—Real functions,1
1934.0,Michigan,81—Quantum Theory,1
1934.0,New Jersey,20—Group theory and generalizations,1
1934.0,New Jersey,53—Differential geometry,1
1934.0,New York,"78—Optics, electromagnetic theory",1
1934.0,New York,"91—Game theory, economics, social and behavioral sciences",2
1934.0,New York,97—Mathematics education,1
1934.0,Ohio,31—Potential theory,1
1934.0,Pennsylvania,"91—Game theory, economics, social and behavioral sciences",1
1934.0,Texas,"82—Statistical mechanics, structure of matter",1
1934.0,Wisconsin,"78—Optics, electromagnetic theory",1
1934.0,Wisconsin,"90—Operations research, mathematical programming",1
1934.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",5
1935.0,California,"82—Statistical mechanics, structure of matter",2
1935.0,California,83—Relativity and gravitational theory,1
1935.0,California,"91—Game theory, economics, social and behavioral sciences",1
1935.0,Connecticut,"91—Game theory, economics, social and behavioral sciences",1
1935.0,Illinois,14—Algebraic geometry,2
1935.0,Illinois,97—Mathematics education,1
1935.0,Iowa,54—General topology,1
1935.0,Iowa,86—Geophysics,1
1935.0,Louisiana,53—Differential geometry,1
1935.0,Maryland,76—Fluid mechanics,1
1935.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",1
1935.0,Michigan,"91—Game theory, economics, social and behavioral sciences",1
1935.0,Minnesota,"91—Game theory, economics, social and behavioral sciences",1
1935.0,Missouri,93—Systems theory; control,1
1935.0,New Jersey,"91—Game theory, economics, social and behavioral sciences",2
1935.0,New York,62—Statistics,1
1935.0,New York,"91—Game theory, economics, social and behavioral sciences",2
1935.0,New York,93—Systems theory; control,1
1935.0,Pennsylvania,20—Group theory and generalizations,1
1935.0,Pennsylvania,70—Mechanics of particles and systems,1
1935.0,Texas,30—Functions of a complex variable,1
1935.0,Texas,54—General topology,1
1935.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",7
1935.0,Wisconsin,92—Biology and other natural sciences,1
1936.0,California,76—Fluid mechanics,2
1936.0,California,"78—Optics, electromagnetic theory",1
1936.0,California,"82—Statistical mechanics, structure of matter",2
1936.0,California,"91—Game theory, economics, social and behavioral sciences",2
1936.0,California,92—Biology and other natural sciences,1
1936.0,Connecticut,"91—Game theory, economics, social and behavioral sciences",1
1936.0,Illinois,34—Ordinary differential equations,2
1936.0,Illinois,"82—Statistical mechanics, structure of matter",1
1936.0,Illinois,85—Astronomy and astrophysics,1
1936.0,Illinois,"91—Game theory, economics, social and behavioral sciences",1
1936.0,Iowa,54—General topology,1
1936.0,Iowa,74—Mechanics of deformable solids,1
1936.0,Massachusetts,74—Mechanics of deformable solids,1
1936.0,Massachusetts,81—Quantum Theory,1
1936.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",1
1936.0,Massachusetts,92—Biology and other natural sciences,1
1936.0,Michigan,76—Fluid mechanics,1
1936.0,Michigan,"82—Statistical mechanics, structure of matter",1
1936.0,Michigan,86—Geophysics,1
1936.0,Minnesota,"82—Statistical mechanics, structure of matter",1
1936.0,New Jersey,86—Geophysics,1
1936.0,New York,14—Algebraic geometry,1
1936.0,New York,70—Mechanics of particles and systems,1
1936.0,New York,74—Mechanics of deformable solids,1
1936.0,New York,85—Astronomy and astrophysics,1
1936.0,New York,97—Mathematics education,1
1936.0,Pennsylvania,"82—Statistical mechanics, structure of matter",1
1936.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",5
1937.0,California,"80—Classical thermodynamics, heat transfer",1
1937.0,Illinois,34—Ordinary differential equations,1
1937.0,Illinois,49—Calculus of variations and optimal control,1
1937.0,Illinois,85—Astronomy and astrophysics,1
1937.0,Illinois,"91—Game theory, economics, social and behavioral sciences",2
1937.0,Illinois,97—Mathematics education,1
1937.0,Iowa,54—General topology,1
1937.0,Massachusetts,81—Quantum Theory,1
1937.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",2
1937.0,Minnesota,"91—Game theory, economics, social and behavioral sciences",1
1937.0,Nebraska,97—Mathematics education,1
1937.0,New Jersey,81—Quantum Theory,1
1937.0,New York,74—Mechanics of deformable solids,1
1937.0,New York,"78—Optics, electromagnetic theory",1
1937.0,New York,"91—Game theory, economics, social and behavioral sciences",2
1937.0,North Carolina,01—History and biography,1
1937.0,North Carolina,"91—Game theory, economics, social and behavioral sciences",1
1937.0,Virginia,28—Measure and integration,1
1937.0,Wisconsin,"82—Statistical mechanics, structure of matter",1
1937.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",5
1937.0,Wisconsin,92—Biology and other natural sciences,1
1938.0,California,76—Fluid mechanics,1
1938.0,California,81—Quantum Theory,2
1938.0,California,"91—Game theory, economics, social and behavioral sciences",2
1938.0,Illinois,14—Algebraic geometry,1
1938.0,Illinois,20—Group theory and generalizations,1
1938.0,Illinois,30—Functions of a complex variable,1
1938.0,Illinois,"40—Sequences, series, summability",1
1938.0,Illinois,60—Probability theory and stochastic processes,1
1938.0,Illinois,62—Statistics,1
1938.0,Illinois,"91—Game theory, economics, social and behavioral sciences",2
1938.0,Indiana,70—Mechanics of particles and systems,1
1938.0,Iowa,54—General topology,1
1938.0,Iowa,"91—Game theory, economics, social and behavioral sciences",1
1938.0,Kentucky,52—Convex and discrete geometry,1
1938.0,Massachusetts,81—Quantum Theory,1
1938.0,Massachusetts,"82—Statistical mechanics, structure of matter",1
1938.0,Massachusetts,"91—Game theory, economics, social and behavioral sciences",4
1938.0,Minnesota,"91—Game theory, economics, social and behavioral sciences",1
1938.0,Minnesota,92—Biology and other natural sciences,2
1938.0,New Jersey,85—Astronomy and astrophysics,1
1938.0,New York,"40—Sequences, series, summability",1
1938.0,New York,"91—Game theory, economics, social and behavioral sciences",2
1938.0,Ohio,"91—Game theory, economics, social and behavioral sciences",1
1938.0,Wisconsin,"91—Game theory, economics, social and behavioral sciences",5
1939.0,California,03—Mathematical logic and foundations,1
1939.0,California,81—Quantum Theory,2
1939.0,California,"91—Game theory, economics, social and behavioral sciences",4
1939.0,California,93—Systems theory; control,1
1939.0,Connecticut,"78—Optics, electromagnetic theory",1
1939.0,Illinois,20—Group theory and generalizations,1
