basket,subject_code,series_type,year,forecast,share_model,total_model
Applied,62.0,derived_count,2025,334.0412405592752,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,62.0,derived_count,2026,334.0412405592752,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,62.0,derived_count,2027,334.0412405592752,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,65.0,derived_count,2025,152.73406993849088,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,65.0,derived_count,2026,152.73406993849088,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,65.0,derived_count,2027,152.73406993849088,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,68.0,derived_count,2025,495.47028060851864,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,68.0,derived_count,2026,495.47028060851864,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,68.0,derived_count,2027,495.47028060851864,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,70.0,derived_count,2025,7.263788894825859,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,70.0,derived_count,2026,7.263788894825859,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,70.0,derived_count,2027,7.263788894825859,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,74.0,derived_count,2025,26.26098828832882,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,74.0,derived_count,2026,26.26098828832882,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,74.0,derived_count,2027,26.26098828832882,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,76.0,derived_count,2025,46.27875823194276,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,76.0,derived_count,2026,46.27875823194276,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,76.0,derived_count,2027,46.27875823194276,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,78.0,derived_count,2025,4.100847326222933,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,78.0,derived_count,2026,4.100847326222933,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,78.0,derived_count,2027,4.100847326222933,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,80.0,derived_count,2025,3.3373771991469328,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,80.0,derived_count,2026,3.3373771991469328,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,80.0,derived_count,2027,3.3373771991469328,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,81.0,derived_count,2025,35.52742357196753,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,81.0,derived_count,2026,35.52742357196753,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,81.0,derived_count,2027,35.52742357196753,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,82.0,derived_count,2025,11.99782481875665,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,82.0,derived_count,2026,11.99782481875665,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,82.0,derived_count,2027,11.99782481875665,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,83.0,derived_count,2025,13.852381185357041,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,83.0,derived_count,2026,13.852381185357041,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,83.0,derived_count,2027,13.852381185357041,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,85.0,derived_count,2025,15.803407305838364,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,85.0,derived_count,2026,15.803407305838364,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,85.0,derived_count,2027,15.803407305838364,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,86.0,derived_count,2025,6.121463643661448,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,86.0,derived_count,2026,6.121463643661448,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,86.0,derived_count,2027,6.121463643661448,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,90.0,derived_count,2025,96.20991331300999,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,90.0,derived_count,2026,96.20991331300999,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,90.0,derived_count,2027,96.20991331300999,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,91.0,derived_count,2025,82.22691201711206,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,91.0,derived_count,2026,82.22691201711206,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,91.0,derived_count,2027,82.22691201711206,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,92.0,derived_count,2025,69.59705876532084,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,92.0,derived_count,2026,69.59705876532084,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,92.0,derived_count,2027,69.59705876532084,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,93.0,derived_count,2025,45.01648101373765,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,93.0,derived_count,2026,45.01648101373765,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,93.0,derived_count,2027,45.01648101373765,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,94.0,derived_count,2025,56.43554167686147,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,94.0,derived_count,2026,56.43554167686147,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,94.0,derived_count,2027,56.43554167686147,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,97.0,derived_count,2025,32.66389868646365,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,97.0,derived_count,2026,32.66389868646365,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,97.0,derived_count,2027,32.66389868646365,"ARIMA(0,1,1)","ARIMA(0,1,1)"
Applied,62.0,share,2025,21.762499849824206,"ARIMA(0,1,1)",
Applied,62.0,share,2026,21.762499849824206,"ARIMA(0,1,1)",
Applied,62.0,share,2027,21.762499849824206,"ARIMA(0,1,1)",
Applied,65.0,share,2025,9.950493443666964,"ARIMA(0,1,1)",
Applied,65.0,share,2026,9.950493443666964,"ARIMA(0,1,1)",
Applied,65.0,share,2027,9.950493443666964,"ARIMA(0,1,1)",
Applied,68.0,share,2025,32.27946312641559,"ARIMA(0,1,1)",
Applied,68.0,share,2026,32.27946312641559,"ARIMA(0,1,1)",
Applied,68.0,share,2027,32.27946312641559,"ARIMA(0,1,1)",
Applied,70.0,share,2025,0.47322960622507837,"ARIMA(0,1,1)",
Applied,70.0,share,2026,0.47322960622507837,"ARIMA(0,1,1)",
Applied,70.0,share,2027,0.47322960622507837,"ARIMA(0,1,1)",
Applied,74.0,share,2025,1.7108808263438908,"ARIMA(0,1,1)",
Applied,74.0,share,2026,1.7108808263438908,"ARIMA(0,1,1)",
Applied,74.0,share,2027,1.7108808263438908,"ARIMA(0,1,1)",
Applied,76.0,share,2025,3.015021341037048,"ARIMA(0,1,1)",
Applied,76.0,share,2026,3.015021341037048,"ARIMA(0,1,1)",
Applied,76.0,share,2027,3.015021341037048,"ARIMA(0,1,1)",
Applied,78.0,share,2025,0.2671666802927054,"ARIMA(0,1,1)",
Applied,78.0,share,2026,0.2671666802927054,"ARIMA(0,1,1)",
Applied,78.0,share,2027,0.2671666802927054,"ARIMA(0,1,1)",
Applied,80.0,share,2025,0.21742725740582264,"ARIMA(0,1,1)",
Applied,80.0,share,2026,0.21742725740582264,"ARIMA(0,1,1)",
Applied,80.0,share,2027,0.21742725740582264,"ARIMA(0,1,1)",
Applied,81.0,share,2025,2.314581124339907,"ARIMA(0,1,1)",
Applied,81.0,share,2026,2.314581124339907,"ARIMA(0,1,1)",
Applied,81.0,share,2027,2.314581124339907,"ARIMA(0,1,1)",
Applied,82.0,share,2025,0.7816479796903293,"ARIMA(0,1,1)",
Applied,82.0,share,2026,0.7816479796903293,"ARIMA(0,1,1)",
Applied,82.0,share,2027,0.7816479796903293,"ARIMA(0,1,1)",
Applied,83.0,share,2025,0.9024707337372798,"ARIMA(0,1,1)",
Applied,83.0,share,2026,0.9024707337372798,"ARIMA(0,1,1)",
Applied,83.0,share,2027,0.9024707337372798,"ARIMA(0,1,1)",
Applied,85.0,share,2025,1.0295784093730478,"ARIMA(0,1,1)",
Applied,85.0,share,2026,1.0295784093730478,"ARIMA(0,1,1)",
Applied,85.0,share,2027,1.0295784093730478,"ARIMA(0,1,1)",
Applied,86.0,share,2025,0.3988080974757582,"ARIMA(0,1,1)",
Applied,86.0,share,2026,0.3988080974757582,"ARIMA(0,1,1)",
Applied,86.0,share,2027,0.3988080974757582,"ARIMA(0,1,1)",
Applied,90.0,share,2025,6.267993199044665,"ARIMA(0,1,1)",
Applied,90.0,share,2026,6.267993199044665,"ARIMA(0,1,1)",
Applied,90.0,share,2027,6.267993199044665,"ARIMA(0,1,1)",
Applied,91.0,share,2025,5.357012677320516,"ARIMA(0,1,1)",
Applied,91.0,share,2026,5.357012677320516,"ARIMA(0,1,1)",
Applied,91.0,share,2027,5.357012677320516,"ARIMA(0,1,1)",
Applied,92.0,share,2025,4.534188588189417,"ARIMA(0,1,1)",
Applied,92.0,share,2026,4.534188588189417,"ARIMA(0,1,1)",
Applied,92.0,share,2027,4.534188588189417,"ARIMA(0,1,1)",
Applied,93.0,share,2025,2.9327850646849654,"ARIMA(0,1,1)",
Applied,93.0,share,2026,2.9327850646849654,"ARIMA(0,1,1)",
Applied,93.0,share,2027,2.9327850646849654,"ARIMA(0,1,1)",
Applied,94.0,share,2025,3.67672705684826,"ARIMA(0,1,1)",
Applied,94.0,share,2026,3.67672705684826,"ARIMA(0,1,1)",
Applied,94.0,share,2027,3.67672705684826,"ARIMA(0,1,1)",
Applied,97.0,share,2025,2.128024938084551,"ARIMA(0,1,1)",
Applied,97.0,share,2026,2.128024938084551,"ARIMA(0,1,1)",
Applied,97.0,share,2027,2.128024938084551,"ARIMA(0,1,1)",
Pure,0.0,derived_count,2025,15.009281835884288,Holt damped,Auto ARIMA
Pure,0.0,derived_count,2026,14.455294149823311,Holt damped,Auto ARIMA
Pure,0.0,derived_count,2027,13.810262223347687,Holt damped,Auto ARIMA
Pure,1.0,derived_count,2025,0.23200095115996805,Holt damped,Auto ARIMA
Pure,1.0,derived_count,2026,0.0,Holt damped,Auto ARIMA
Pure,1.0,derived_count,2027,0.0,Holt damped,Auto ARIMA
Pure,3.0,derived_count,2025,61.05445318122886,Holt damped,Auto ARIMA
Pure,3.0,derived_count,2026,62.32258013318083,Holt damped,Auto ARIMA
Pure,3.0,derived_count,2027,63.35668308005867,Holt damped,Auto ARIMA
Pure,5.0,derived_count,2025,135.60792326080016,Holt damped,Auto ARIMA
Pure,5.0,derived_count,2026,138.8177723200525,Holt damped,Auto ARIMA
Pure,5.0,derived_count,2027,141.46408353912372,Holt damped,Auto ARIMA
Pure,6.0,derived_count,2025,6.620266062535741,Holt damped,Auto ARIMA
Pure,6.0,derived_count,2026,6.647781677552054,Holt damped,Auto ARIMA
Pure,6.0,derived_count,2027,6.643986790150158,Holt damped,Auto ARIMA
Pure,8.0,derived_count,2025,5.29098298459005,Holt damped,Auto ARIMA
Pure,8.0,derived_count,2026,5.369844719781661,Holt damped,Auto ARIMA
Pure,8.0,derived_count,2027,5.425533485220364,Holt damped,Auto ARIMA
Pure,11.0,derived_count,2025,147.43310054483473,Holt damped,Auto ARIMA
Pure,11.0,derived_count,2026,152.3560971416698,Holt damped,Auto ARIMA
Pure,11.0,derived_count,2027,156.7220734094113,Holt damped,Auto ARIMA
Pure,12.0,derived_count,2025,4.706021164810074,Holt damped,Auto ARIMA
Pure,12.0,derived_count,2026,4.81045270971933,Holt damped,Auto ARIMA
Pure,12.0,derived_count,2027,4.895641297593618,Holt damped,Auto ARIMA
Pure,13.0,derived_count,2025,34.87104003281978,Holt damped,Auto ARIMA
Pure,13.0,derived_count,2026,35.71358747304475,Holt damped,Auto ARIMA
Pure,13.0,derived_count,2027,36.40837472403414,Holt damped,Auto ARIMA
Pure,14.0,derived_count,2025,138.96145408031762,Holt damped,Auto ARIMA
