Model,RMSE,MAE,dir_acc,NDCG
Dummy (mean),0.00816120005162265,0.004740670116195029,0.4801708358755339,0.8078330307146535
Zero-change,0.008157851321480383,0.004718266953424216,0.0,0.8078330307146535
Momentum (slope_3yr),0.010534383084220056,0.006329648228746953,0.3428920073215375,0.7193555335543134
Ridge (weighted),0.006698297783207622,0.0042980904366914565,0.6406345332519829,0.9003120164247266
HistGBR (weighted),0.006894355450316307,0.004316275373768032,0.6479560707748627,0.894137510965463
